run,turn,agreement_ratio,reached
1,1,0.5,false
1,2,0.5,false
1,3,0.5,false
1,4,0.5,false
1,5,0.5,false
1,7,0.5,false
1,8,0.5,false
1,10,0.5,false
1,12,0.5,false
1,14,0.5,false
1,16,0.5,false
1,18,0.5,false
1,20,0.5,false
1,22,0.5,false
1,24,0.5,false
1,26,0.5,false
1,28,0.5,false
1,29,0.5,false
1,30,0.5,false
2,2,0.5,false
2,3,0.5,false
2,4,0.5,false
2,5,0.5,false
2,7,0.5,false
2,9,0.5,false
2,11,0.5,false
2,13,0.5,false
2,14,0.5,false
2,16,0.5,false
2,17,0.5,false
2,19,0.5,false
2,21,0.5,false
2,23,0.5,false
2,24,0.5,false
2,26,0.5,false
2,28,0.5,false
2,30,0.5,false
3,2,0.5,false
3,3,0.5,false
3,4,0.5,false
3,5,0.5,false
3,7,0.5,false
3,9,0.5,false
3,11,0.5,false
3,13,0.5,false
3,15,0.5,false
3,17,0.5,false
3,19,0.5,false
3,21,0.5,false
3,23,0.5,false
3,25,0.5,false
3,27,0.5,false
3,29,0.5,false
3,30,0.5,false
4,2,0.5,false
4,3,0.5,false
4,4,0.5,false
4,5,0.5,false
4,7,0.5,false
4,9,0.5,false
4,11,0.5,false
4,13,0.5,false
4,15,0.5,false
4,17,0.5,false
4,18,0.5,false
4,20,0.5,false
4,22,0.5,false
4,23,0.5,false
4,25,0.5,false
4,27,0.5,false
4,29,0.5,false
5,1,0.5,false
5,2,0.5,false
5,3,0.5,false
5,4,0.5,false
5,5,0.5,false
5,7,0.5,false
5,9,0.5,false
5,11,0.5,false
5,13,0.5,false
5,15,0.5,false
5,17,0.5,false
5,19,0.5,false
5,21,0.5,false
5,23,0.5,false
5,24,0.5,false
5,26,0.5,false
5,28,0.5,false
5,30,0.5,false
